EstablishmentID,EstablishmentNumber,EstablishmentName,State,ProjectCode,ProjectName,FormID,CollectionDate,SampleSource,ProductionAlternatives,ListeriaMonocytogenesAnalysis,LmPFGEPattern,LmAlleleCode
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMPRODC_WL,Risk-based Verification-Western Lab - RTE - Listeria - Product Sample (Composite),102563502,1-Oct-20,Product-RTE-Other/Miscellaneous-Pork,ALT 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563503,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563504,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563505,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563506,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563507,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563508,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563509,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563510,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563511,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563512,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMENVC_WL,Risk-based Verification-Western Lab-RTE-Non-food Contact Surface Sample-Listeria,102563513,1-Oct-20,Other-Non/Product Contact Surface Sponge,NULL,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMPRODC_WL,Risk-based Verification-Western Lab - RTE - Listeria - Product Sample (Composite),102563516,1-Oct-20,Product-RTE-Other/Miscellaneous-Pork,ALT 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563517,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563518,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563519,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563520,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563521,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563522,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563523,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563524,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563525,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102563526,1-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
475,M17938+P17938,"Publix Supermarkets, Inc., Deli Plant",FL,RLMENVC_WL,Risk-based Verification-Western Lab-RTE-Non-food Contact Surface Sample-Listeria,102563527,1-Oct-20,Other-Non/Product Contact Surface Sponge,NULL,Negative,NULL,NULL
127059,M45493+P45493,Julius Falkavage LLC,WI,RLMPRODC_WL,Risk-based Verification-Western Lab - RTE - Listeria - Product Sample (Composite),102575273,6-Oct-20,"Product-RTE-Fully Cooked, Meat/Nonmeat Combination-Pork",ALT 3,Negative,NULL,NULL
127059,M45493+P45493,Julius Falkavage LLC,WI,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102575274,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
127059,M45493+P45493,Julius Falkavage LLC,WI,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102575275,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
127059,M45493+P45493,Julius Falkavage LLC,WI,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102575276,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
127059,M45493+P45493,Julius Falkavage LLC,WI,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102575277,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
127059,M45493+P45493,Julius Falkavage LLC,WI,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102575278,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
127059,M45493+P45493,Julius Falkavage LLC,WI,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102575279,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
127059,M45493+P45493,Julius Falkavage LLC,WI,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102575280,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
127059,M45493+P45493,Julius Falkavage LLC,WI,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102575281,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
127059,M45493+P45493,Julius Falkavage LLC,WI,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102575282,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
127059,M45493+P45493,Julius Falkavage LLC,WI,RLMCONT_WL,Risk-based Verification-Western Lab-Food Contact Surface Sample-Listeria,102575283,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
127059,M45493+P45493,Julius Falkavage LLC,WI,RLMENVC_WL,Risk-based Verification-Western Lab-RTE-Non-food Contact Surface Sample-Listeria,102575284,6-Oct-20,Other-Non/Product Contact Surface Sponge,NULL,Negative,NULL,NULL
6162049,M45694+P45694,"Ruiz Food Products, Inc.",SC,RLMPRODC_MWL,Risk-based Verification-Midwestern Lab - RTE - Listeria - Product Sample (Composite),102575296,6-Oct-20,"Product-RTE-Other Fully Cooked, Not Sliced-Beef",ALT 3,Negative,NULL,NULL
6162049,M45694+P45694,"Ruiz Food Products, Inc.",SC,RLMCONT_MWL,Risk-based Verification-Midwest Lab-RTE-Food Contact Surface Sample-Listeria,102575297,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
6162049,M45694+P45694,"Ruiz Food Products, Inc.",SC,RLMCONT_MWL,Risk-based Verification-Midwest Lab-RTE-Food Contact Surface Sample-Listeria,102575298,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
6162049,M45694+P45694,"Ruiz Food Products, Inc.",SC,RLMCONT_MWL,Risk-based Verification-Midwest Lab-RTE-Food Contact Surface Sample-Listeria,102575299,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
6162049,M45694+P45694,"Ruiz Food Products, Inc.",SC,RLMCONT_MWL,Risk-based Verification-Midwest Lab-RTE-Food Contact Surface Sample-Listeria,102575300,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
6162049,M45694+P45694,"Ruiz Food Products, Inc.",SC,RLMCONT_MWL,Risk-based Verification-Midwest Lab-RTE-Food Contact Surface Sample-Listeria,102575301,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
6162049,M45694+P45694,"Ruiz Food Products, Inc.",SC,RLMCONT_MWL,Risk-based Verification-Midwest Lab-RTE-Food Contact Surface Sample-Listeria,102575302,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
6162049,M45694+P45694,"Ruiz Food Products, Inc.",SC,RLMCONT_MWL,Risk-based Verification-Midwest Lab-RTE-Food Contact Surface Sample-Listeria,102575303,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
6162049,M45694+P45694,"Ruiz Food Products, Inc.",SC,RLMCONT_MWL,Risk-based Verification-Midwest Lab-RTE-Food Contact Surface Sample-Listeria,102575304,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
6162049,M45694+P45694,"Ruiz Food Products, Inc.",SC,RLMCONT_MWL,Risk-based Verification-Midwest Lab-RTE-Food Contact Surface Sample-Listeria,102575305,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
6162049,M45694+P45694,"Ruiz Food Products, Inc.",SC,RLMCONT_MWL,Risk-based Verification-Midwest Lab-RTE-Food Contact Surface Sample-Listeria,102575306,6-Oct-20,Other-Product Contact Surface Sponge,Alt 3,Negative,NULL,NULL
6162049,M45694+P45694,"Ruiz Food Products, Inc.",SC,RLMENVC_MWL,Risk-based Verification-Midwest Lab-RTE-Non-Food Contact Surface Sample-Listeria,102575307,6-Oct-20,Other-Non/Product Contact Surface Sponge,NULL,Negative,NULL,NULL
6162049,M45694+P45694,"Ruiz Food Products, Inc.",SC,RLMPRODC_MWL,Risk-based Verification-Midwestern Lab - RTE - Listeria - Product Sample (Composite),102575309,6-Oct-20,"Product-RTE-Fully Cooked, Meat/Nonmeat Combination-Beef",ALT 3,Negative,NULL,NULL
